"recipe_line_id";"menu_variant_id";"menu_item_id";"menu_variant_name";"portion_size";"ingredient_id";"ingredient_name";"ingredient_group_code";"quantity_per_portion";"unit";"preparation_loss_fraction";"preparation_loss_pct";"effective_quantity_per_portion";"recipe_component_status";"inventory_consumption_eligible";"source_row_number";"source_file"
"RL-0064";"MI-003-LARGE";"MI-003";"Miso Eggplant Bowl - Large";"Large";"GARN-002";"Pickled ginger";"GARN";"10";"g";"0.02";"2";"10.204082";"SOURCE_RECIPE";"true";"65";"Recipe and menu data_1_1(1).xlsx"
"RL-0065";"MI-003-LARGE";"MI-003";"Miso Eggplant Bowl - Large";"Large";"GARN-003";"Crispy shallots";"GARN";"1";"spoon";"0.02";"2";"1.020408";"SOURCE_RECIPE";"true";"66";"Recipe and menu data_1_1(1).xlsx"
"RL-0066";"MI-003-LARGE";"MI-003";"Miso Eggplant Bowl - Large";"Large";"GARN-004";"Nori strips";"GARN";"2";"g";"0";"0";"2";"SOURCE_RECIPE";"true";"67";"Recipe and menu data_1_1(1).xlsx"
"RL-0067";"MI-005-SMALL";"MI-005";"Sashimi Bowl - Small";"Small";"BASE-001";"Cooked jasmine rice";"BASE";"150";"g";"0.02";"2";"153.061224";"SOURCE_RECIPE";"true";"68";"Recipe and menu data_1_1(1).xlsx"
"RL-0068";"MI-005-SMALL";"MI-005";"Sashimi Bowl - Small";"Small";"SEAS-002";"Furikake";"SEAS";"2";"g";"0";"0";"2";"SOURCE_RECIPE";"true";"69";"Recipe and menu data_1_1(1).xlsx"
"RL-0069";"MI-005-SMALL";"MI-005";"Sashimi Bowl - Small";"Small";"LEAF-001";"Mixed leaf salad";"LEAF";"10";"g";"0.08";"8";"10.869565";"SOURCE_RECIPE";"true";"70";"Recipe and menu data_1_1(1).xlsx"
"RL-0070";"MI-005-SMALL";"MI-005";"Sashimi Bowl - Small";"Small";"PROT-006";"Sashimi salmon";"PROT";"30";"g";"0.12";"12";"34.090909";"SOURCE_RECIPE";"true";"71";"Recipe and menu data_1_1(1).xlsx"
"RL-0071";"MI-005-SMALL";"MI-005";"Sashimi Bowl - Small";"Small";"PROT-007";"Sashimi tuna";"PROT";"60";"g";"0.1";"10";"66.666667";"SOURCE_RECIPE";"true";"72";"Recipe and menu data_1_1(1).xlsx"
"RL-0072";"MI-005-SMALL";"MI-005";"Sashimi Bowl - Small";"Small";"SAUC-005";"Shoyu";"SAUC";"30";"g";"0.03";"3";"30.927835";"SOURCE_RECIPE";"true";"73";"Recipe and menu data_1_1(1).xlsx"
"RL-0073";"MI-005-SMALL";"MI-005";"Sashimi Bowl - Small";"Small";"GARN-001";"Edamame";"GARN";"0.25";"cup";"0.03";"3";"0.257732";"SOURCE_RECIPE";"true";"74";"Recipe and menu data_1_1(1).xlsx"
"RL-0074";"MI-005-SMALL";"MI-005";"Sashimi Bowl - Small";"Small";"GARN-002";"Pickled ginger";"GARN";"10";"g";"0.02";"2";"10.204082";"SOURCE_RECIPE";"true";"75";"Recipe and menu data_1_1(1).xlsx"
"RL-0075";"MI-005-SMALL";"MI-005";"Sashimi Bowl - Small";"Small";"GARN-010";"Avocado";"GARN";"40";"g";"0.25";"25";"53.333333";"SOURCE_RECIPE";"true";"76";"Recipe and menu data_1_1(1).xlsx"
"RL-0076";"MI-005-SMALL";"MI-005";"Sashimi Bowl - Small";"Small";"GARN-004";"Nori strips";"GARN";"2";"g";"0";"0";"2";"SOURCE_RECIPE";"true";"77";"Recipe and menu data_1_1(1).xlsx"
"RL-0077";"MI-005-LARGE";"MI-005";"Sashimi Bowl - Large";"Large";"BASE-001";"Cooked jasmine rice";"BASE";"250";"g";"0.02";"2";"255.102041";"SOURCE_RECIPE";"true";"78";"Recipe and menu data_1_1(1).xlsx"
"RL-0078";"MI-005-LARGE";"MI-005";"Sashimi Bowl - Large";"Large";"SEAS-002";"Furikake";"SEAS";"2";"g";"0";"0";"2";"SOURCE_RECIPE";"true";"79";"Recipe and menu data_1_1(1).xlsx"
"RL-0079";"MI-005-LARGE";"MI-005";"Sashimi Bowl - Large";"Large";"LEAF-001";"Mixed leaf salad";"LEAF";"15";"g";"0.08";"8";"16.304348";"SOURCE_RECIPE";"true";"80";"Recipe and menu data_1_1(1).xlsx"
"RL-0080";"MI-005-LARGE";"MI-005";"Sashimi Bowl - Large";"Large";"PROT-006";"Sashimi salmon";"PROT";"40";"g";"0.12";"12";"45.454545";"SOURCE_RECIPE";"true";"81";"Recipe and menu data_1_1(1).xlsx"
"RL-0081";"MI-005-LARGE";"MI-005";"Sashimi Bowl - Large";"Large";"PROT-007";"Sashimi tuna";"PROT";"80";"g";"0.1";"10";"88.888889";"SOURCE_RECIPE";"true";"82";"Recipe and menu data_1_1(1).xlsx"
"RL-0082";"MI-005-LARGE";"MI-005";"Sashimi Bowl - Large";"Large";"SAUC-005";"Shoyu";"SAUC";"40";"g";"0.03";"3";"41.237113";"SOURCE_RECIPE";"true";"83";"Recipe and menu data_1_1(1).xlsx"
"RL-0083";"MI-005-LARGE";"MI-005";"Sashimi Bowl - Large";"Large";"GARN-001";"Edamame";"GARN";"0.25";"cup";"0.03";"3";"0.257732";"SOURCE_RECIPE";"true";"84";"Recipe and menu data_1_1(1).xlsx"
"RL-0084";"MI-005-LARGE";"MI-005";"Sashimi Bowl - Large";"Large";"GARN-002";"Pickled ginger";"GARN";"10";"g";"0.02";"2";"10.204082";"SOURCE_RECIPE";"true";"85";"Recipe and menu data_1_1(1).xlsx"
"RL-0085";"MI-005-LARGE";"MI-005";"Sashimi Bowl - Large";"Large";"GARN-010";"Avocado";"GARN";"40";"g";"0.25";"25";"53.333333";"SOURCE_RECIPE";"true";"86";"Recipe and menu data_1_1(1).xlsx"
"RL-0086";"MI-005-LARGE";"MI-005";"Sashimi Bowl - Large";"Large";"GARN-004";"Nori strips";"GARN";"2";"g";"0";"0";"2";"SOURCE_RECIPE";"true";"87";"Recipe and menu data_1_1(1).xlsx"
"RL-0087";"MI-006-SMALL";"MI-006";"Poke Bowl - Small";"Small";"BASE-003";"Turmeric coconut rice";"BASE";"150";"g";"0.02";"2";"153.061224";"SOURCE_RECIPE";"true";"88";"Recipe and menu data_1_1(1).xlsx"
